"line_type","anlys_id","glac_id","anlys_time","area","db_area","width","length","primeclass","min_elev","mean_elev","max_elev","src_date","rec_status","glac_name","wgms_id","local_id","glac_stat","subm_id","release_dt","proc_desc","rc_id","geog_area","chief_affl","loc_unc_x","loc_unc_y","glob_unc_x","glob_unc_y","submitters","analysts","bboxes","geog_area_rollup"
"pro_lake","61180.0","G282683E09494S","2007-04-15T08:00:00","2.3715","2.36455","0.0","0.0","0.0","4761.0","5182.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1D371FPDA2","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.3031194, -9.48478525), (-77.2996346, -9.48478525), (-77.2996346, -9.482337750000001), (-77.3031194, -9.482337750000001), (-77.3031194, -9.48478525)]","South America"
"pro_lake","61207.0","G282694E09505S","2007-04-15T08:00:00","2.295","2.28977","0.0","0.0","0.0","4758.0","5181.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1D371FPDA1","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.29951075, -9.5004496), (-77.29912025, -9.5004496), (-77.29912025, -9.499512400000002), (-77.29951075, -9.499512400000002), (-77.29951075, -9.5004496)]","South America"
"debris_cov","61110.0","G282664E09480S","2007-04-15T08:00:00","6.6384","6.6372","0.0","0.0","0.0","4601.0","5138.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1P005CQDA3","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","60","60","100","100","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.2935822, -9.513092349999999), (-77.2934678, -9.513092349999999), (-77.2934678, -9.51264465), (-77.2935822, -9.51264465), (-77.2935822, -9.513092349999999)]","South America"
"pro_lake","60947.0","G282689E09373S","2007-04-15T08:00:00","1.7271","1.71774","0.0","0.0","0.0","4659.0","5152.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1D371FQBC1","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.29687935, -9.3853149), (-77.29460565000001, -9.3853149), (-77.29460565000001, -9.3829851), (-77.29687935, -9.3829851), (-77.29687935, -9.3853149)]","South America"
"pro_lake","60987.0","G282676E09516S","2007-04-15T08:00:00","8.766","8.77757","0.0","0.0","0.0","4407.0","5347.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1P005CRD03","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.34886594999999, -9.5279115), (-77.33678905000001, -9.5279115), (-77.33678905000001, -9.518000500000001), (-77.34886594999999, -9.518000500000001), (-77.34886594999999, -9.5279115)]","South America"
"pro_lake","60866.0","G282498E09115S","2007-04-15T08:00:00","2.5002","2.49703","0.0","0.0","0.0","4620.0","5205.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CKG07","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.5161131, -9.11416045), (-77.51344890000001, -9.11416045), (-77.51344890000001, -9.113138549999999), (-77.5161131, -9.113138549999999), (-77.5161131, -9.11416045)]","South America"
"pro_lake","61108.0","G282677E09366S","2007-04-15T08:00:00","4.6782","4.66724","0.0","0.0","0.0","4433.0","5281.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1D371FQBD1","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.313812, -9.358352700000001), (-77.31192, -9.358352700000001), (-77.31192, -9.3562913), (-77.313812, -9.3562913), (-77.313812, -9.358352700000001)]","South America"
"pro_lake","60951.0","G282670E09402S","2007-04-15T08:00:00","8.4753","8.48466","0.0","0.0","0.0","4641.0","5198.0","0.0","2005-07-11T15:33:25","okay","None","None","PE1P005CQCB7","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.3479631, -9.42411945), (-77.33407890000001, -9.42411945), (-77.33407890000001, -9.41495755), (-77.3479631, -9.41495755), (-77.3479631, -9.42411945)]","South America"
"pro_lake","60834.0","G282380E08870S","2007-04-15T08:00:00","2.0772","2.07672","0.0","0.0","0.0","4553.0","5185.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CCJF2","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.63322325, -8.86181005), (-77.62734375000001, -8.86181005), (-77.62734375000001, -8.85567095), (-77.63322325, -8.85567095), (-77.63322325, -8.86181005)]","South America"
"pro_lake","61047.0","G282354E08875S","2007-04-15T08:00:00","1.5039","1.505","0.0","0.0","0.0","4874.0","5225.0","0.0","2005-08-28T15:33:04","okay","None","None","PE1P005CCJF4","exists","489.0","2008-04-08T00:00:00","ASTER imagery: 2 ASTER images acquired in Aug 2005 by special Data
Acquisition Request (DAR); GLIMS gains; high contrast; minimal cloud
cover; end of the ablation season. Some areas in the NW of Cordillera
Blanca not covered by this scene. I used L1B lev","524.0","Cordillera Blanca, Peru","IRD (UR R032 Great Ice)","15","15","30","30","Racoviteanu, Adina","Racoviteanu, Adina","[(-77.64029545, -8.8684349), (-77.63777755, -8.8684349), (-77.63777755, -8.863113100000001), (-77.64029545, -8.863113100000001), (-77.64029545, -8.8684349)]","South America"
